,uid
864,7288323
865,7291647
866,7306058
867,7309788
868,7323832
869,7334658
870,7366420
871,7422486
872,7429287
873,7448411
874,7462894
875,7474757
876,7487262
877,7499923
878,7529270
879,7553184
880,7562331
881,7572467
882,7613519
883,7643911
884,7657548
885,7661029
886,7720158
887,7735026
888,7743978
889,7755494
890,7767699
891,7783424
892,7802833
893,7816785
894,7858646
895,7860753
896,7881516
897,7900507
898,7950577
899,7958346
900,7975434
901,7986056
902,7990937
903,8013193
904,8036633
905,8049320
906,8061253
907,8071703
908,8075600
909,8086589
910,8111929
911,8138172
912,8144106
913,8184066
914,8219258
915,8247894
916,8265443
917,8305550
918,8320233
919,8341351
920,8350956
921,8370213
922,8381294
923,8408574
924,8432892
925,8440290
926,8463075
927,8477884
928,8493855
929,8514950
930,8525800
931,8564838
932,8586924
933,8610489
934,8644125
935,8681829
936,8685337
937,8716432
938,8727101
939,8736707
940,8747518
941,8774612
942,8788143
943,8823955
944,8830905
945,8843960
946,8867058
947,8898626
948,8937807
949,8957022
950,8974879
951,8991464
952,9016224
953,9024109
954,9057552
955,9129991
956,9151978
957,9153410
958,9168523
959,9198708
960,9215686
961,9240289
962,9254541
963,9276357
964,9297823
965,9357789
966,9362704
967,9388367
968,9403734
969,9415410
970,9424384
971,9432335
972,9449686
973,9477109
974,9482934
975,9518360
976,9590756
977,9661932
978,9692131
979,9727697
980,9744058
981,9791183
982,9811435
983,9821509
984,9826525
985,9861990
986,9867969
987,9899448
988,9936320
989,9945068
990,10006316
991,10040534
992,10084395
993,10121058
994,10159349
995,10183128
996,10215574
997,10248098
998,10267750
999,10276338
1000,10341569
1001,10352294
1002,10358314
1003,10371655
1004,10392417
1005,10426308
1006,10479971
1007,10482137
1008,10515643
1009,10537864
1010,10565881
1011,10608185
1012,10620467
1013,10647735
1014,10703453
1015,10718515
1016,10760794
1017,10775403
1018,10806774
1019,10821717
1020,10822609
1021,10842015
1022,10873476
1023,10932933
1024,10946304
1025,10966717
1026,11030832
1027,11060307
1028,11078689
1029,11109375
1030,11130944
1031,11165632
1032,11210824
1033,11232709
1034,11261768
1035,11297260
1036,11313660
1037,11340113
1038,11351376
1039,11429340
1040,11439817
1041,11475995
1042,11563341
1043,11570268
1044,11605164
1045,11621480
1046,11627657
1047,11636846
1048,11699781
1049,11720866
1050,11729977
1051,11739037
1052,11759716
1053,11782683
1054,11801101
1055,11839230
1056,11849032
1057,11879476
1058,11919842
1059,11963855
1060,11968266
1061,12005097
1062,12050123
1063,12108872
1064,12161649
1065,12177138
1066,12180062
1067,12201364
1068,12211708
1069,12239967
1070,12265059
1071,12290148
1072,12337373
1073,12357056
1074,12406377
1075,12473439
1076,12520223
1077,12555881
1078,12597271
1079,12615548
1080,12626799
1081,12633814
1082,12668485
1083,12671119
1084,12700864
1085,12716193
1086,12746066
1087,12763317
1088,12790361
1089,12811292
1090,12824982
1091,12841231
1092,12934218
1093,12957405
1094,12967820
1095,13045475
1096,13097691
1097,13136274
1098,13165614
1099,13174041
1100,13181377
1101,13204856
1102,13240629
1103,13253689
1104,13306465
1105,13340930
1106,13359857
1107,13391077
1108,13419131
1109,13449337
1110,13518875
1111,13536566
1112,13573684
1113,13606903
1114,13649449
1115,13653041
1116,13694516
1117,13737748
1118,13748983
1119,13761447
1120,13776526
1121,13787720
1122,13818331
1123,13820102
1124,13832663
1125,13849672
1126,13934605
1127,13991829
1128,13993698
1129,14083232
1130,14102317
1131,14115599
1132,14136468
1133,14157021
1134,14158835
1135,14190086
1136,14200424
1137,14218679
1138,14229525
1139,14257827
1140,14268006
1141,14269326
1142,14324508
1143,14368346
1144,14399240
1145,14426282
1146,14436416
1147,14470145
1148,14474696
1149,14508869
1150,14534002
1151,14569000
1152,14603846
1153,14649545
1154,14700180
1155,14757905
1156,14794828
1157,14807672
1158,14856228
1159,14901835
1160,14908236
1161,14914553
1162,14930460
1163,14936286
1164,15028178
1165,15036880
1166,15069902
1167,15126375
1168,15148344
1169,15162127
1170,15197713
1171,15210147
1172,15226016
1173,15258886
1174,15312737
1175,15340106
1176,15363945
1177,15406406
1178,15435117
1179,15462794
1180,15538528
1181,15544422
1182,15575441
1183,15599026
1184,15675283
1185,15691550
1186,15722373
1187,15737818
1188,15750607
1189,15760799
1190,15784463
1191,15849106
1192,15867133
1193,15912528
1194,15918697
1195,15941848
1196,15977930
1197,16005848
1198,16015972
1199,16020227
1200,16081357
1201,16145842
1202,16176849
1203,16186076
1204,16194496
1205,16233403
1206,16251363
1207,16255058
1208,16318894
1209,16331340
1210,16415889
1211,16444131
1212,16475218
1213,16497582
1214,16521467
1215,16560402
1216,16575321
1217,16584507
1218,16609219
1219,16693294
1220,16741772
1221,16792738
1222,16830684
1223,16852621
1224,16877926
1225,16891971
1226,16896794
1227,16910138
1228,16941858
1229,16965876
1230,17039489
1231,17197641
1232,17226079
1233,17295311
1234,17319284
1235,17323271
1236,17384172
1237,17400251
1238,17422199
1239,17498517
1240,17514197
1241,17561616
1242,17573838
1243,17614703
1244,17703119
1245,17733694
1246,17745014
1247,17770473
1248,17789092
1249,17804447
1250,17816758
1251,17821125
1252,17845917
1253,17865838
1254,17925727
1255,17942537
1256,17967701
1257,18015272
1258,18085455
1259,18108883
1260,18127668
1261,18135207
1262,18216993
1263,18237553
1264,18262722
1265,18267731
1266,18278386
1267,18297859
1268,18334134
1269,18361072
1270,18412697
